dataset_size,overlap,alice_hash,alice_blind,alice_double_blind,alice_send,alice_recv,alice_intersection,alice_total,bob_hash,bob_blind,bob_double_blind,bob_send,bob_recv,bob_intersection,bob_total
100,75,5.224297,7.459775,7.460306,0.137166,36.862465,0.024569,60.855127,5.466500,22.905673,14.347786,3.092548,0.023907,9.590053,56.523416
100,75,2.643566,12.855090,5.093817,0.403459,34.215939,0.023864,60.044628,4.155791,28.881666,13.711489,3.004740,0.021982,7.010037,56.896882
100,75,1.130563,9.174031,8.009766,1.604026,35.936087,0.024151,60.780933,8.486315,20.152213,15.121649,3.173339,0.024278,9.918889,57.968732
100,75,4.180857,5.475369,8.511097,0.529512,51.280175,0.024178,74.862148,6.983779,15.524993,13.630613,0.646983,0.027971,13.172236,51.117286
100,75,5.587444,5.884770,6.937056,1.186367,34.976803,0.024928,59.063153,3.572719,19.297734,19.061585,2.515991,0.026071,11.447356,56.034526
100,75,2.751365,6.634844,8.073280,0.506391,31.625234,0.024633,54.873027,4.056786,17.054464,15.820961,2.950813,0.022468,11.397277,52.273972
100,75,3.154509,8.027178,4.275961,2.893258,27.808329,0.024988,50.876206,3.728160,16.953419,15.165711,2.831385,0.025653,7.086083,46.790807
100,75,1.132668,4.050298,5.610798,0.289009,37.397627,0.024299,56.604895,4.961089,18.661427,15.495490,2.907186,0.027608,11.409603,54.469019
100,75,1.102887,4.308426,4.258138,0.389322,32.995355,0.024754,93.406493,5.221474,13.175674,16.576966,2.460431,0.029473,51.651517,89.340319
100,75,1.157709,7.459362,3.140495,0.345818,33.470127,0.023684,53.281578,4.044805,18.138612,15.911578,2.154631,0.027485,10.289668,51.486883
100,75,1.402156,9.719903,8.193026,0.478441,33.028605,0.024146,57.903706,3.352965,15.262443,22.215617,2.276292,0.022357,11.617432,55.864340
100,75,1.279910,3.148085,20.530887,0.336323,50.080240,0.024041,79.045534,9.827325,25.349866,14.403533,2.885518,0.019732,23.347902,75.989078
100,75,3.329137,4.004910,3.632762,0.208681,32.634949,0.024093,48.340748,5.967611,16.484009,14.330857,2.922135,0.024799,5.203140,46.325863
100,75,1.157744,5.488417,11.813012,7.070972,34.534576,0.025600,63.586413,4.578246,22.250288,17.312586,2.364766,0.021465,14.919553,61.555616
100,75,1.155388,2.804337,4.445069,0.437059,49.991718,0.024068,73.366134,12.417168,22.875307,15.356145,1.323402,0.014350,16.573379,70.644626
100,75,1.222354,9.429707,2.605196,0.301209,28.607942,0.022114,45.935919,3.094870,18.135573,14.763000,2.226433,0.020003,3.893379,43.330196
100,75,1.112929,2.749518,2.779525,0.100574,24.583273,0.022538,34.370911,5.138666,11.363075,8.855400,1.982694,0.014270,4.673945,32.827195
100,75,1.509853,2.837367,4.766454,0.206314,10.386680,0.023475,26.446549,1.938469,8.230352,2.678530,0.734550,0.013334,9.564615,24.481764
100,75,1.061609,2.711506,2.612928,0.191950,27.221014,0.020932,36.089690,3.012258,11.197551,13.260104,3.066767,0.014330,3.262230,33.982095
100,75,1.675237,3.351996,3.244962,0.346699,19.478984,0.021931,32.018848,2.648136,7.260555,12.302410,1.693457,0.022614,4.438336,29.637826
100,75,1.394517,4.328570,5.875698,0.401748,18.470874,0.047697,76.921479,2.934389,12.042470,7.313815,1.463983,0.057780,50.165444,76.079010
200,0,7.358546,10.568196,7.371556,1.115259,52.545836,0.060722,81.933861,7.256839,33.308665,23.642326,2.819139,0.024027,12.256153,79.793211
200,0,2.305641,5.775405,6.896806,1.935796,52.596345,0.064302,71.585025,10.882471,24.469483,22.773402,2.932357,0.021064,8.556114,69.791369
200,0,2.152886,5.798258,5.404986,1.507137,53.149808,0.059825,70.493995,5.672862,24.799534,26.178217,3.168410,0.019640,6.152815,66.776477
200,0,2.158782,5.733947,5.389188,0.217328,49.844997,0.068136,66.002456,6.360321,25.928987,22.015186,1.808700,0.485750,7.255686,64.178373
200,0,2.078713,5.246748,5.219371,0.687710,28.738167,0.060116,44.371291,5.092772,20.579195,7.934573,2.488180,0.015361,6.388095,42.915487
200,0,2.909505,5.802417,7.657960,0.396355,26.880595,0.549851,45.951988,4.178669,17.260687,11.123973,2.447009,0.012986,8.575353,43.828424
200,0,4.094301,10.475209,8.883236,0.314966,46.091409,0.064409,74.330465,7.713067,27.354143,22.185133,4.292519,0.021114,10.309870,72.034678
200,0,4.677969,10.931563,8.872095,0.478577,45.012868,0.125528,72.410587,6.530727,27.706826,23.258456,2.451331,0.026921,9.773828,70.481323
200,0,2.292037,11.276704,7.091861,0.490309,44.682483,0.064166,68.120877,9.485346,25.555637,20.567519,2.183208,0.026282,7.994478,65.970973
200,0,3.053132,5.746477,5.754722,0.416270,48.687323,0.065022,65.701715,6.717378,24.753892,22.945755,3.106358,0.024500,6.649327,64.346264
200,0,2.219153,6.596364,5.705250,0.347930,23.816676,0.063631,40.090445,4.391311,15.468727,10.555472,1.702719,0.013533,6.230132,38.447049
200,0,2.296056,6.381200,5.769773,0.427127,38.474579,0.285114,54.960715,5.395454,18.510399,20.215759,2.950030,0.045457,6.278240,53.494870
200,0,2.437740,5.777748,6.015002,0.466968,31.112121,0.060956,47.345181,4.126168,12.546416,19.732732,2.798353,0.011831,6.461903,45.813490
200,0,2.254612,5.413103,5.091848,0.609729,18.233394,0.063813,33.121858,5.046537,9.183370,9.094953,3.295572,0.013422,5.075394,31.844934
200,0,2.121374,5.483405,5.134140,1.274388,44.303469,0.063613,60.371921,7.683958,25.144965,17.392573,1.855035,0.021207,6.710153,58.947898
200,0,2.048113,5.150831,5.069119,0.696445,39.660377,0.059813,53.946192,5.483865,20.131027,18.701115,2.445722,0.015754,5.560393,52.461452
200,0,2.244731,5.139735,5.427013,0.302404,38.441004,0.066643,53.735639,5.445731,20.269817,16.396795,2.721048,0.016215,6.629593,51.628439
200,0,2.065578,5.205334,5.153723,1.572907,34.931720,0.064210,50.912471,4.335392,16.513773,18.699151,2.637587,0.013983,6.364403,48.702953
200,0,2.443594,6.225753,5.040403,0.485525,29.159425,0.060426,44.950089,6.239831,9.911330,18.568971,2.562114,0.015096,5.936968,43.318523
200,0,2.115201,5.315022,5.016289,0.540678,36.953465,0.060211,51.595993,3.235905,11.221646,20.819822,2.656729,0.010207,5.530479,43.616028
200,0,2.073339,5.226970,5.044916,0.675677,45.049257,0.063561,60.257205,8.716958,22.257671,18.538704,3.009074,0.019216,5.540852,58.597877
200,0,1.969648,5.159176,5.122846,1.594483,44.966514,0.060265,60.786200,7.169349,21.057964,21.879898,2.731629,0.017963,5.868237,58.876569
